sessiondatetime,sessionId,userCountry,sourcetype,action_shopHomePageVisit,action_productPageVisit,action_addToCartVisit,action_purchaseVisit
20191020T084215,8.92075E+28,Germany,orgsearch,0,1,1,1
20191020T113458,5.05992E+28,Germany,direct,0,1,0,0
20191020T133524,4.3362E+28,Germany,paysearch,0,1,0,0
20191019T232913,4.78799E+28,Germany,direct,0,1,0,0
20191020T181128,9.0678E+28,Germany,orgsearch,0,1,0,0
20191020T115502,1.12679E+28,Germany,direct,0,1,0,0
20191019T233059,1.35671E+28,Germany,orgsearch,0,1,0,1
20191020T174709,5.68346E+28,Germany,paysearch,0,1,0,1
20191020T151011,2.92942E+28,Germany,orgsearch,0,1,0,0
20191020T083026,8.49766E+28,Germany,orgsearch,0,1,1,0
20191020T112156,6.33007E+28,Germany,orgsearch,0,1,1,1
20191020T165544,6.61355E+28,Germany,paysearch,0,1,1,0
20191020T104803,5.88011E+28,Germany,direct,0,1,1,1
20191020T144219,6.71179E+28,Germany,paysearch,0,1,0,0
20191020T112709,2.50998E+28,Germany,direct,0,1,1,1
20191020T202837,2.26309E+28,Germany,orgsearch,0,1,0,0
20191020T193957,2.17697E+28,Germany,orgsearch,0,1,0,0
20191020T182246,1.41338E+28,Germany,paysearch,0,1,0,0
20191020T081245,3.7571E+28,Germany,paysearch,0,1,0,0
20191020T120858,6.66202E+28,Germany,paysearch,0,1,1,1
20191020T125600,4.01868E+28,Germany,affiliate,0,1,1,0
20191020T162242,8.46283E+28,Germany,direct,0,1,1,0
20191020T065535,8.82204E+28,Germany,orgsearch,0,1,0,0
20191020T122942,9.78256E+27,Germany,paysearch,0,1,1,1
20191020T105536,4.26327E+28,Germany,paysearch,0,1,1,1
20191020T105018,7.16025E+28,Germany,affiliate,0,1,1,1
20191020T063903,8.67358E+28,Germany,paysearch,0,1,0,0
20191020T090328,6.71047E+28,Germany,direct,0,1,0,0
20191020T193525,4.0573E+28,Germany,orgsearch,0,1,0,0
20191020T110930,2.65685E+27,Germany,direct,0,1,0,0
20191020T213145,5.24522E+28,Germany,direct,0,1,1,1
20191020T102228,6.74177E+28,Germany,orgsearch,0,1,0,0
20191020T165553,6.1349E+28,Germany,orgsearch,0,1,0,0
20191020T105714,8.16943E+27,Germany,direct,0,1,0,0
20191020T163419,3.11403E+28,Germany,direct,0,1,0,1
20191020T151329,6.96423E+27,Germany,paysearch,0,1,1,1
20191020T191811,7.88986E+27,Germany,orgsearch,0,1,1,0
20191020T122637,3.25476E+28,Germany,paysearch,0,1,1,0
20191020T102559,3.08014E+28,Germany,direct,0,1,1,0
20191019T222439,2.28717E+28,Germany,affiliate,0,1,1,1
20191020T150237,1.75554E+28,Germany,affiliate,0,1,0,0
20191020T133629,6.04413E+28,Germany,paysearch,0,1,1,0
20191020T152657,5.40398E+28,Germany,orgsearch,0,1,1,1
20191020T153404,2.08093E+27,Germany,direct,0,1,0,0
20191020T063021,6.68289E+28,Germany,orgsearch,0,1,1,1
20191020T112936,8.35014E+28,Germany,paysearch,0,1,1,1
20191020T105922,8.68658E+28,Germany,orgsearch,0,1,1,1
20191020T151721,2.81005E+28,Germany,orgsearch,0,1,0,0
20191020T174310,2.16736E+28,Germany,paysearch,0,1,1,1
20191020T122931,4.32346E+28,Germany,direct,0,1,0,0
20191020T145015,2.81311E+28,Germany,direct,0,1,1,0
20191020T123953,6.69142E+28,Germany,paysearch,0,1,0,0
20191020T160701,6.57905E+28,Germany,orgsearch,0,1,1,1
20191020T082904,7.43005E+28,Germany,orgsearch,0,1,0,0
20191020T121045,4.88704E+28,Germany,direct,0,1,1,0
20191020T141913,8.90915E+28,Germany,paysearch,0,1,1,0
20191020T181129,7.20986E+28,Germany,paysearch,0,1,0,0
20191020T094252,1.40785E+28,Germany,orgsearch,0,1,1,1
20191020T072100,2.09037E+28,Germany,affiliate,0,1,1,1
20191020T195924,6.61127E+28,Germany,orgsearch,0,1,1,1
20191020T092531,5.06831E+28,Germany,paysearch,0,1,0,0
20191020T152406,1.58329E+28,Germany,direct,0,1,0,0
20191020T212349,6.7273E+28,Germany,orgsearch,0,1,0,0
20191020T192151,4.80139E+28,Germany,paysearch,0,1,0,1
20191020T120819,8.68715E+28,Germany,direct,0,1,0,0
20191020T150744,6.02261E+28,Germany,paysearch,0,1,1,0
20191020T164823,5.64337E+28,Germany,direct,0,1,1,1
20191020T174958,6.73883E+28,Germany,orgsearch,0,1,0,1
20191020T115631,3.53832E+28,Germany,paysearch,0,1,1,0
20191020T121404,5.95282E+28,Germany,orgsearch,0,1,1,0
20191020T153226,1.99854E+28,Germany,paysearch,0,1,0,0
20191020T144809,3.29923E+28,Germany,affiliate,0,1,1,0
20191020T125600,1.24462E+27,Germany,paysearch,0,1,0,0
20191020T155453,1.01243E+28,Germany,direct,0,1,0,0
20191020T202329,6.57225E+28,Germany,paysearch,0,1,0,0
20191020T194447,3.06168E+28,Germany,paysearch,0,1,0,0
20191020T190403,5.38556E+28,Germany,paysearch,0,1,1,1
20191020T055801,2.09037E+28,Germany,affiliate,0,1,1,0
20191020T211528,5.85878E+28,Germany,paysearch,0,1,0,0
20191020T073103,6.95924E+28,Germany,direct,0,1,0,0
20191020T100629,1.23957E+28,Germany,orgsearch,0,1,1,0
20191020T095334,2.9728E+28,Germany,orgsearch,0,1,0,0
20191020T193247,7.1438E+28,Germany,direct,0,1,1,0
20191020T165647,5.57795E+28,Germany,paysearch,0,1,1,0
20191020T144805,7.07649E+27,Germany,paysearch,0,1,1,1
20191020T120449,4.57884E+28,Germany,direct,0,1,1,1
20191020T070139,4.54927E+28,Germany,paysearch,0,1,1,0
20191020T090927,6.78061E+28,Germany,orgsearch,0,1,1,1
20191020T144343,2.29689E+28,Germany,orgsearch,0,1,1,1
20191020T192951,2.59084E+28,Germany,paysearch,0,1,1,0
20191020T151945,2.57009E+28,Germany,orgsearch,0,1,0,0
20191020T142042,7.72048E+28,Germany,direct,0,1,0,0
20191020T070215,6.976E+28,Germany,direct,0,1,1,0
20191020T134608,7.10192E+28,Germany,paysearch,0,1,0,1
20191019T223233,4.11494E+28,Germany,paysearch,0,1,1,0
20191020T124409,3.75915E+28,Lithuania,orgsearch,0,1,1,1
20191020T165732,1.25591E+28,Germany,orgsearch,0,1,0,0
20191020T173529,5.33849E+28,Germany,orgsearch,0,1,1,0
20191020T133359,7.72756E+28,Germany,affiliate,0,1,1,1
20191020T201835,8.8928E+28,Germany,paysearch,0,1,1,0
20191020T163619,3.79796E+28,Germany,affiliate,0,1,1,0
20191020T184907,8.52141E+27,Germany,paysearch,0,1,1,0
20191020T153944,2.2628E+28,Germany,direct,0,1,1,1
20191019T232646,7.76352E+28,Germany,direct,0,1,0,0
20191020T112247,8.15262E+28,Germany,paysearch,0,1,1,0
20191020T054727,8.94305E+28,Germany,direct,0,1,0,0
20191020T071140,3.07651E+28,Germany,direct,0,1,1,0
20191020T104136,5.29504E+28,Germany,orgsearch,0,1,0,0
20191020T031922,6.72668E+28,Germany,paysearch,0,1,0,0
20191020T100739,3.71382E+28,Germany,paysearch,0,1,1,1
20191020T103332,4.68291E+28,Germany,paysearch,0,1,0,1
20191020T212357,6.25864E+28,Germany,paysearch,0,1,0,1
20191020T081950,6.86791E+28,Germany,orgsearch,0,1,0,0
20191020T124548,1.69744E+28,Germany,orgsearch,0,1,0,0
20191020T180044,8.61043E+28,Germany,affiliate,0,1,1,0
20191020T211254,4.77408E+28,Germany,orgsearch,0,1,0,0
20191020T075017,4.22372E+28,Germany,orgsearch,0,1,1,1
20191020T145343,1.39298E+28,Germany,affiliate,0,1,1,0
20191020T052642,6.32964E+28,Germany,direct,0,1,1,0
20191020T165503,8.36612E+28,Germany,paysearch,0,1,1,0
20191020T091941,7.03514E+28,Germany,affiliate,0,1,0,0
20191020T183522,2.24822E+28,Germany,paysearch,0,1,0,0
20191020T180129,8.28938E+26,Germany,paysearch,0,1,1,0
20191020T141638,3.89763E+28,Germany,orgsearch,0,1,0,0
20191020T084445,1.19611E+28,Germany,direct,0,1,0,0
20191020T191711,7.14591E+28,Germany,paysearch,0,1,0,0
20191020T144451,7.23467E+28,Germany,orgsearch,0,1,0,0
20191020T124607,8.93208E+28,Germany,paysearch,0,1,0,0
20191020T184009,1.9744E+28,Germany,paysearch,0,1,1,1
20191020T115853,8.99502E+27,Germany,orgsearch,0,1,0,0
20191020T093041,4.3317E+28,Germany,paysearch,0,1,1,0
20191020T102727,2.50752E+28,Germany,orgsearch,0,1,0,0
20191020T102058,3.41308E+28,Germany,direct,0,1,0,0
20191020T090030,6.69357E+28,Germany,paysearch,0,1,0,0
20191020T082252,8.97257E+28,Germany,paysearch,0,1,0,0
20191020T125153,4.14351E+28,Germany,orgsearch,0,1,1,0
20191020T094950,4.23334E+28,Germany,orgsearch,0,1,0,0
20191020T102455,8.55305E+28,Germany,orgsearch,0,1,0,0
20191020T105434,5.82723E+28,Germany,paysearch,0,1,0,1
20191020T150120,1.31696E+26,Germany,affiliate,0,1,1,0
20191020T135055,3.60049E+28,Germany,paysearch,0,1,1,0
20191020T083052,7.17973E+28,Germany,orgsearch,0,1,0,0
20191020T114313,3.25476E+28,Germany,paysearch,0,1,0,0
20191019T220748,2.32703E+28,Germany,orgsearch,0,1,0,0
20191020T060406,4.43261E+28,Germany,direct,0,1,0,0
20191020T085959,4.7882E+28,Germany,orgsearch,0,1,1,0
20191020T180523,3.80075E+28,Germany,direct,0,1,1,1
20191020T151014,6.90268E+28,Germany,paysearch,0,1,1,1
20191020T194655,9.08947E+28,Germany,orgsearch,0,1,1,1
20191020T160205,1.95971E+28,Germany,paysearch,0,1,0,0
20191020T203028,3.8299E+28,Germany,paysearch,0,1,1,0
20191020T110214,1.78631E+27,Germany,paysearch,0,1,0,0
20191020T112805,3.58373E+28,Germany,affiliate,0,1,1,1
20191019T234244,4.82783E+27,Germany,affiliate,0,1,0,0
20191020T194045,1.99858E+28,Germany,direct,0,1,0,0
20191020T130304,5.06657E+28,Germany,orgsearch,0,1,0,0
20191020T191410,5.30215E+28,Germany,paysearch,0,1,1,1
20191020T073005,6.4522E+28,Germany,paysearch,0,1,0,0
20191020T190047,1.27442E+28,Germany,direct,0,1,0,1
20191020T114635,5.86135E+28,Germany,direct,0,1,0,0
20191020T094223,7.40539E+26,Germany,orgsearch,0,1,1,1
20191020T114726,3.91921E+27,Germany,paysearch,0,1,0,1
20191019T220445,6.70262E+27,Germany,orgsearch,0,1,0,0
20191020T162159,5.63192E+28,Germany,paysearch,0,1,1,0
20191020T170205,6.43927E+28,Germany,orgsearch,0,1,0,1
20191020T160034,2.1611E+28,Germany,orgsearch,0,1,0,0
20191020T110450,3.73269E+28,Germany,paysearch,0,1,1,0
20191020T094904,3.505E+27,Germany,paysearch,0,1,1,0
20191020T150704,3.15343E+28,Germany,paysearch,0,1,1,1
20191020T093129,1.08793E+28,Germany,direct,0,1,0,0
20191020T121403,2.85123E+28,Germany,paysearch,0,1,1,1
20191020T210052,7.49193E+28,Germany,paysearch,0,1,1,1
20191020T192227,3.55164E+27,Austria,orgsearch,0,1,0,0
20191020T092610,8.26457E+28,Germany,direct,0,1,0,0
20191020T203337,2.12038E+26,Germany,direct,0,1,1,1
20191020T102238,4.87168E+28,Germany,paysearch,0,1,0,1
20191020T115445,4.30423E+28,Germany,paysearch,0,1,0,0
20191020T090506,4.33089E+28,Germany,paysearch,0,1,0,1
20191020T122610,1.06496E+28,Germany,paysearch,0,1,1,0
20191020T111941,6.09023E+28,Germany,paysearch,0,1,0,1
20191020T123328,7.55182E+28,Germany,paysearch,0,1,1,1
20191020T201106,6.36504E+28,Germany,paysearch,0,1,0,1
20191020T100327,2.50117E+28,Germany,direct,0,1,0,0
20191020T134412,5.66266E+28,Germany,orgsearch,0,1,1,1
20191020T135243,4.5405E+28,Germany,paysearch,0,1,1,1
20191020T095929,1.70305E+28,Germany,direct,0,1,1,1
20191020T185254,3.04401E+28,Germany,paysearch,0,1,0,1
20191020T114040,5.1377E+28,Germany,paysearch,0,1,1,1
20191020T165038,6.87733E+28,Germany,paysearch,0,1,0,0
20191020T145714,7.48407E+28,Germany,orgsearch,0,1,0,0
20191020T153001,6.10313E+28,Germany,orgsearch,0,1,0,1
20191020T110707,2.96037E+28,Germany,paysearch,0,1,0,0
20191020T092211,1.4929E+28,Germany,paysearch,0,1,0,0
20191020T101930,5.87781E+28,Germany,orgsearch,0,1,0,0
20191020T133444,6.6085E+28,Germany,direct,0,1,1,1
20191020T064733,7.17511E+28,Germany,paysearch,0,1,1,1
20191020T073219,7.53412E+28,Germany,orgsearch,0,1,0,0
20191020T181107,5.9135E+28,Germany,paysearch,0,1,0,0
20191020T183901,5.95544E+28,Germany,paysearch,0,1,0,1
20191019T234522,6.63028E+28,Germany,paysearch,0,1,0,0
20191020T194133,6.22673E+28,Germany,orgsearch,0,1,0,0
20191020T213715,8.66358E+27,Germany,orgsearch,0,1,1,0
20191020T151046,4.82934E+28,Germany,orgsearch,0,1,1,1
20191020T195528,3.57203E+26,Germany,paysearch,0,1,1,1
20191020T151633,3.87442E+28,United Kingdom,affiliate,0,1,0,0
20191020T143917,6.53515E+28,Germany,affiliate,0,1,1,0
20191020T104358,7.97218E+28,Germany,paysearch,0,1,0,1
20191020T135202,5.42109E+28,Germany,paysearch,0,1,1,0
20191020T195813,7.84318E+28,Germany,paysearch,0,1,1,1
20191020T152121,5.15457E+28,Germany,orgsearch,0,1,0,0
20191020T190138,3.26459E+28,Germany,paysearch,0,1,1,1
20191020T185842,8.96611E+27,Germany,orgsearch,0,1,0,0
20191020T091624,7.28168E+28,Germany,orgsearch,0,1,0,0
20191020T131549,8.88594E+28,Germany,paysearch,0,1,1,0
20191020T132315,2.70133E+28,Germany,paysearch,0,1,1,1
20191020T111719,3.08374E+28,Germany,paysearch,0,1,0,0
20191020T153330,1.54105E+28,Germany,paysearch,0,1,1,1
20191020T203704,3.59557E+28,Germany,orgsearch,0,1,0,0
20191020T213532,8.61109E+28,Germany,orgsearch,0,1,0,0
20191020T104050,3.24098E+28,Germany,paysearch,0,1,1,0
20191020T110620,1.27403E+28,Germany,paysearch,0,1,0,0
20191020T085812,3.79231E+28,Germany,orgsearch,0,1,0,0
20191020T084356,3.8021E+28,Germany,affiliate,0,1,1,0
20191020T084103,3.93159E+28,Germany,orgsearch,0,1,1,1
20191020T115439,8.58122E+28,Germany,orgsearch,0,1,0,0
20191020T133340,6.74755E+28,Germany,paysearch,0,1,0,0
20191020T131127,1.7528E+28,Germany,paysearch,0,1,0,0
20191020T042107,6.65757E+28,Germany,affiliate,0,1,1,0
20191020T110824,5.95886E+28,Germany,paysearch,0,1,1,0
20191020T114351,6.97491E+27,Germany,paysearch,0,1,0,0
20191020T115113,3.1139E+28,Germany,orgsearch,0,1,0,0
20191020T113327,1.06228E+28,Germany,orgsearch,0,1,0,0
20191020T091901,8.21058E+28,Germany,paysearch,0,1,1,1
20191020T184744,4.28176E+27,Germany,paysearch,0,1,1,1
20191020T111647,6.10449E+28,Germany,direct,0,1,1,0
20191020T043231,5.33121E+28,Germany,paysearch,0,1,0,0
20191020T174019,1.97522E+28,Germany,paysearch,0,1,1,1
20191020T195134,5.49054E+28,Germany,orgsearch,0,1,1,0
20191020T153403,4.4563E+28,Germany,affiliate,0,1,1,1
20191020T075053,1.66737E+28,Germany,affiliate,0,1,1,0
20191020T070714,2.27932E+27,Germany,direct,0,1,0,0
20191020T073942,5.90008E+28,Germany,orgsearch,0,1,0,0
20191020T131303,2.50578E+28,Germany,paysearch,0,1,1,1
20191020T095846,2.80567E+28,Germany,direct,0,1,1,0
20191020T212220,4.27512E+27,Germany,paysearch,0,1,1,0
20191020T115432,7.07017E+28,Germany,orgsearch,0,1,1,1
20191020T151824,7.66622E+28,Germany,paysearch,0,1,0,0
20191020T140007,8.14225E+28,Germany,paysearch,0,1,0,1
20191020T194352,2.72023E+28,Germany,direct,0,1,0,0
20191020T200039,6.86677E+28,Germany,direct,0,1,0,0
20191020T125853,3.22121E+28,Germany,paysearch,0,1,0,0
20191020T152917,4.99822E+28,Luxembourg,orgsearch,0,1,1,0
20191020T125746,5.61986E+28,Germany,paysearch,0,1,0,0
20191020T133217,1.24462E+27,Germany,orgsearch,0,1,1,1
20191020T161842,8.22611E+27,Germany,orgsearch,0,1,0,0
20191020T125655,7.49894E+28,Germany,direct,0,1,1,0
20191020T174907,4.22922E+28,Germany,paysearch,0,1,0,0
20191020T173832,7.10007E+27,Germany,paysearch,0,1,1,1
20191020T053640,5.63849E+28,Germany,paysearch,0,1,0,1
20191020T104615,4.30997E+28,Germany,orgsearch,0,1,0,1
20191020T214046,7.61433E+27,Germany,paysearch,0,1,0,1
20191020T111726,2.99953E+28,Germany,paysearch,0,1,0,1
20191020T134650,2.38982E+27,Germany,paysearch,0,1,1,0
20191020T175236,1.04926E+28,Germany,paysearch,0,1,1,0
20191020T083059,1.32084E+28,Germany,orgsearch,0,1,0,0
20191020T064655,7.25441E+28,Germany,orgsearch,0,1,0,0
20191020T130635,4.63254E+28,Germany,affiliate,0,1,0,0
20191020T185255,2.11525E+28,Germany,direct,0,1,0,0
20191020T080309,6.14314E+28,Germany,orgsearch,0,1,0,0
20191020T025229,6.75085E+28,Germany,paysearch,0,1,0,0
20191020T190445,5.1162E+28,Germany,paysearch,0,1,0,0
20191020T080851,3.61698E+28,Germany,paysearch,0,1,0,1
20191020T123622,4.87078E+28,Germany,paysearch,0,1,1,0
20191020T094551,3.87779E+28,Germany,direct,0,1,0,0
20191020T172624,2.16478E+28,Germany,orgsearch,0,1,1,0
20191020T150735,5.22987E+27,Germany,direct,0,1,0,0
20191020T114524,2.23001E+28,Germany,direct,0,1,0,0
20191020T171832,8.97401E+27,Germany,orgsearch,0,1,1,0
20191020T162620,6.45994E+28,Germany,orgsearch,0,1,0,0
20191020T131142,2.27892E+28,Germany,orgsearch,0,1,1,1
20191020T090627,2.13619E+28,Germany,orgsearch,0,1,1,0
20191020T124751,7.31551E+28,Germany,paysearch,0,1,0,1
20191020T184919,4.91383E+28,Germany,paysearch,0,1,0,0
20191020T094035,6.6586E+28,Germany,direct,0,1,1,1
20191020T145856,3.21523E+28,Germany,affiliate,0,1,0,0
